filename,file_offset,application,c_time,io_zone,redundancy_type,op_type,service_class,from_flash_cache,cache_hit,request_io_size_bytes,disk_io_size_bytes,response_io_size_bytes,start_time,disk_time,simulated_disk_start_time,simulated_latency
a76acb7bd7c574a5942190b58c4c17b974ce4cfd2b58cf78b6c88b1777d07ae8,409600,bigtable,1709912871,WARM,ERASURE_CODED,READ,THROUGHPUT_ORIENTED,0,0,528384,524288,528384,1710399600.001034975,0.002334582,1710399600.001034975,0.002334582
9c1e8d12b584e79c87ba6f914fdd327bd5690fa5d3eed8b0b21a0713baeeecaf,4345856,spanner,1709995504,WARM,ERASURE_CODED,READ,THROUGHPUT_ORIENTED,0,0,77824,266240,77824,1710399600.003165960,0.002788503,1710399600.003369570,0.002992112
9d4ce4a52d70c9b6a9a6365b1ae4d6c00d9bc4bb35881dabf8213a8325da2600,5219426,eccab0ec807ba5e9c86ea4d72b7272534653995c86e7d336d87d7adda2a74b10,1710399490,WARM,REPLICATED,WRITE,THROUGHPUT_ORIENTED,0,-1,0,0,0,1710399600.007496357,0.000000000,0.000000000,0.000034481
04506158a77e8e7328494717b635f37cecae8c550d1e1a4a96eeb947794d2ef3,3235842,bigtable,1710399310,WARM,REPLICATED,WRITE,THROUGHPUT_ORIENTED,0,-1,3990,3990,0,1710399600.008002281,0.000000000,0.000000000,0.000104424
9d4ce4a52d70c9b6a9a6365b1ae4d6c00d9bc4bb35881dabf8213a8325da2600,5219426,eccab0ec807ba5e9c86ea4d72b7272534653995c86e7d336d87d7adda2a74b10,1710399490,WARM,REPLICATED,WRITE,THROUGHPUT_ORIENTED,0,-1,294137,294137,0,1710399600.008283615,0.000000000,0.000000000,0.000308055
db6b5417809acd47216e7d8a185e0c0cc09a4cb9b46e7040778fd22c3ee32911,1048576,spanner,1709846755,WARM,ERASURE_CODED,READ,LATENCY_SENSITIVE,0,0,1048576,1048576,1048576,1710399600.014176607,0.004292556,1710399600.014176607,0.004292556
a76acb7bd7c574a5942190b58c4c17b974ce4cfd2b58cf78b6c88b1777d07ae8,933888,bigtable,1709912871,WARM,ERASURE_CODED,READ,THROUGHPUT_ORIENTED,0,0,114688,110592,114688,1710399600.018411160,0.000857710,1710399600.018504381,0.000950887
1bb225e5b471781feed437765faab5442a61df2b7674d00d3c3d88474b5e715c,5164529,bigtable,1710399535,WARM,REPLICATED,WRITE,THROUGHPUT_ORIENTED,0,-1,3090,3090,0,1710399600.021951675,0.000000000,0.000000000,0.000058565
9c1e8d12b584e79c87ba6f914fdd327bd5690fa5d3eed8b0b21a0713baeeecaf,4194304,spanner,1709995504,WARM,ERASURE_CODED,READ,THROUGHPUT_ORIENTED,1,1,262144,0,262144,1710399600.028558254,0.000000000,0.000000000,0.000080893
2e543dcee3993ec78e116e2a9ab618bd7c0359ecb928c330ac6669baf7b44e88,2272239,bigtable,1710399219,WARM,REPLICATED,WRITE,THROUGHPUT_ORIENTED,0,-1,2474,2474,0,1710399600.031287909,0.000000000,0.000000000,0.000481595
1bb225e5b471781feed437765faab5442a61df2b7674d00d3c3d88474b5e715c,5167619,bigtable,1710399535,WARM,REPLICATED,WRITE,THROUGHPUT_ORIENTED,0,-1,4055,4055,0,1710399600.047445059,0.000000000,0.000000000,0.000061776
ccc4fcd220d4e9599b5ba1ec07becdc3e643a3e37969fc45cb97cd4eefe39047,6291456,bigtable,1709075724,WARM,ERASURE_CODED,READ,THROUGHPUT_ORIENTED,0,0,131072,135168,131072,1710399600.048736095,0.015024309,1710399600.048736095,0.015024309
04506158a77e8e7328494717b635f37cecae8c550d1e1a4a96eeb947794d2ef3,3239832,bigtable,1710399310,WARM,REPLICATED,WRITE,THROUGHPUT_ORIENTED,0,-1,21046,21046,0,1710399600.057505131,0.000000000,0.000000000,0.000129787
236be0faf07e592564339c224454a894fefb8167e34a0d6b79f75924120b8677,4609307,b5b4908459d349a16a0416b1c5d6e79e5b3324491c9e08999a6f2630e1abfebb,1710399420,WARM,REPLICATED,WRITE,THROUGHPUT_ORIENTED,0,-1,0,0,0,1710399600.070819616,0.000000000,0.000000000,0.000070311
236be0faf07e592564339c224454a894fefb8167e34a0d6b79f75924120b8677,4609307,b5b4908459d349a16a0416b1c5d6e79e5b3324491c9e08999a6f2630e1abfebb,1710399420,WARM,REPLICATED,WRITE,THROUGHPUT_ORIENTED,0,-1,237499,237499,0,1710399600.071355820,0.000000000,0.000000000,0.000168112
1bb225e5b471781feed437765faab5442a61df2b7674d00d3c3d88474b5e715c,5171674,bigtable,1710399535,WARM,REPLICATED,WRITE,THROUGHPUT_ORIENTED,0,-1,2462,2462,0,1710399600.072705984,0.000000000,0.000000000,0.000072492
225595f6c89fed32cabe5984504059454c6966ea48d13c0bd846e7bec0e2b83a,6585741,9e01fccabed659dde45efdff3be4b3383f5d97efdcb016daf734f61e97a6c0dc,1710399574,WARM,REPLICATED,WRITE,THROUGHPUT_ORIENTED,0,-1,0,0,0,1710399600.076403856,0.000000000,0.000000000,0.000062156
